epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4169,1.05433,2.31368,1.21003,0.58304,0.46414,0.47051,0.29552,1.1984,1.67176,1.37564,0.000553903,0.000553903,0.000553903
2,82.0894,1.19797,1.29624,1.28884,0.56756,0.58482,0.56075,0.34103,1.21983,2.42468,1.44454,0.0010876,0.0010876,0.0010876
3,139.788,1.17294,1.17876,1.27986,0.49435,0.55249,0.54977,0.38396,1.15326,1.91548,1.39115,0.00159929,0.00159929,0.00159929
4,185.675,1.13561,1.11179,1.25982,0.47242,0.61435,0.61068,0.3978,1.17979,1.49708,1.39053,0.00156798,0.00156798,0.00156798
5,226.981,1.11395,1.01328,1.24643,0.39349,0.80145,0.63494,0.41522,1.01601,1.48288,1.21909,0.00153497,0.00153497,0.00153497
6,265.277,1.03634,0.92049,1.18393,0.88871,0.79886,0.87829,0.63461,0.95384,0.86626,1.23726,0.00150197,0.00150197,0.00150197
7,304.873,1.01934,0.87782,1.16711,0.89762,0.84931,0.91134,0.65888,0.95016,0.76591,1.17429,0.00146896,0.00146896,0.00146896
8,342.431,1.01517,0.85278,1.16744,0.72834,0.85083,0.82534,0.57429,1.01143,0.91919,1.29145,0.00143595,0.00143595,0.00143595
9,381.431,0.99286,0.82518,1.1637,0.81226,0.80947,0.87266,0.61692,0.97771,0.89748,1.20403,0.00140295,0.00140295,0.00140295
10,419.657,0.97668,0.8011,1.13253,0.88897,0.84043,0.88734,0.66602,0.93873,0.74712,1.17131,0.00136994,0.00136994,0.00136994
11,457.802,0.95249,0.79151,1.13693,0.79426,0.89455,0.88256,0.66338,0.92656,0.74551,1.19521,0.00133693,0.00133693,0.00133693
12,497.703,0.91262,0.72823,1.10443,0.76053,0.86285,0.87205,0.66046,0.87482,0.77758,1.1309,0.00130393,0.00130393,0.00130393
13,538.159,0.9155,0.77719,1.10755,0.80388,0.91611,0.93443,0.69655,0.88016,0.69755,1.16426,0.00127092,0.00127092,0.00127092
14,576.856,0.91329,0.74445,1.11084,0.87447,0.93125,0.90969,0.68186,0.87328,0.71104,1.13145,0.00123791,0.00123791,0.00123791
15,615.332,0.88872,0.69379,1.09284,0.74186,0.92879,0.83877,0.63578,0.883,0.73332,1.14172,0.00120491,0.00120491,0.00120491
16,654.23,0.89424,0.69626,1.10134,0.77578,0.8623,0.84651,0.6348,0.86985,0.7125,1.14282,0.0011719,0.0011719,0.0011719
17,696.31,0.87695,0.69734,1.08966,0.83079,0.93555,0.89718,0.69693,0.81807,0.64527,1.08488,0.00113889,0.00113889,0.00113889
18,736.263,0.86411,0.66572,1.0831,0.8925,0.91632,0.93621,0.71826,0.8429,0.63243,1.11185,0.00110589,0.00110589,0.00110589
19,775.76,0.84694,0.66605,1.06897,0.90365,0.91015,0.94945,0.75096,0.79363,0.63097,1.1084,0.00107288,0.00107288,0.00107288
20,814.979,0.839,0.64115,1.06909,0.89992,0.93829,0.94422,0.73122,0.82124,0.63829,1.08041,0.00103987,0.00103987,0.00103987
21,853.369,0.85219,0.6315,1.08796,0.89815,0.93635,0.95262,0.72529,0.85923,0.58447,1.12352,0.00100687,0.00100687,0.00100687
22,893.742,0.85234,0.63,1.07373,0.79385,0.94023,0.90105,0.71404,0.82633,0.68151,1.10027,0.000973861,0.000973861,0.000973861
23,931.611,0.81547,0.61916,1.05228,0.9493,0.94562,0.96621,0.73853,0.80846,0.57458,1.07705,0.000940855,0.000940855,0.000940855
24,969.507,0.81184,0.59757,1.05701,0.86832,0.95508,0.95759,0.73405,0.87852,0.58797,1.10683,0.000907848,0.000907848,0.000907848
25,1009.19,0.80841,0.59103,1.06464,0.85997,0.91318,0.94202,0.74176,0.8245,0.61256,1.09398,0.000874842,0.000874842,0.000874842
26,1047.47,0.80418,0.56887,1.05014,0.92609,0.94802,0.97298,0.75846,0.80556,0.51186,1.09008,0.000841835,0.000841835,0.000841835
27,1085.53,0.80017,0.57604,1.04795,0.89845,0.90956,0.93825,0.73844,0.80522,0.5658,1.09485,0.000808828,0.000808828,0.000808828
28,1123.69,0.78479,0.56302,1.03826,0.90397,0.95478,0.94926,0.73697,0.84313,0.55012,1.11235,0.000775822,0.000775822,0.000775822
29,1161.42,0.78123,0.57373,1.03736,0.88805,0.93451,0.96644,0.77964,0.75036,0.53974,1.0502,0.000742815,0.000742815,0.000742815
30,1200.87,0.76963,0.54689,1.03195,0.9233,0.95823,0.96562,0.78586,0.74469,0.51568,1.06161,0.000709809,0.000709809,0.000709809
31,1240.4,0.77815,0.53972,1.02559,0.93875,0.96154,0.97495,0.77485,0.78305,0.49191,1.08712,0.000676802,0.000676802,0.000676802
32,1278.98,0.75637,0.53183,1.02209,0.90108,0.9324,0.95474,0.77868,0.77001,0.54882,1.05456,0.000643795,0.000643795,0.000643795
33,1319.47,0.75642,0.5268,1.0161,0.92923,0.97088,0.97065,0.79017,0.77254,0.50007,1.06399,0.000610789,0.000610789,0.000610789
34,1358.8,0.74645,0.51365,1.01354,0.91077,0.93451,0.95624,0.77897,0.7491,0.5109,1.05372,0.000577782,0.000577782,0.000577782
35,1399.88,0.74157,0.50896,1.01854,0.89824,0.92822,0.96616,0.76051,0.78602,0.5068,1.10355,0.000544776,0.000544776,0.000544776
36,1442.28,0.72252,0.5178,1.00996,0.94356,0.94802,0.98121,0.81894,0.72246,0.47758,1.03783,0.000511769,0.000511769,0.000511769
37,1481.29,0.71341,0.49637,0.99748,0.90007,0.95478,0.96642,0.79072,0.74469,0.50754,1.04813,0.000478762,0.000478762,0.000478762
