epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1679,0.82482,22.2409,0.77501,0.00153,0.89,0.19826,0.08673,1.38771,2.98292,1.37235,0.000554964,0.000554964,0.000554964
2,113.373,1.10418,5.4765,1.01477,0.00754,0.34,0.05181,0.0195,1.90104,2.90877,1.88186,0.00108864,0.00108864,0.00108864
3,168.761,1.07854,2.72492,1.01846,0.04755,0.91,0.15873,0.05363,1.62799,2.75774,1.68708,0.00160031,0.00160031,0.00160031
4,229.079,1.02625,2.27864,1.02013,0.0704,0.39,0.23204,0.12007,1.52601,2.80158,1.68849,0.00156798,0.00156798,0.00156798
5,293.79,1.02409,2.09434,1.00166,0.82746,0.13,0.24382,0.14061,1.3565,1.93383,1.58336,0.00153497,0.00153497,0.00153497
6,354.332,0.90037,1.7894,0.91777,0.65844,0.17,0.16908,0.09936,1.28439,2.2671,1.35837,0.00150197,0.00150197,0.00150197
7,410.394,0.85699,1.53143,0.85203,0.76758,0.24181,0.36731,0.22888,1.20849,1.38589,1.41456,0.00146896,0.00146896,0.00146896
8,466.895,0.83659,1.51944,0.84377,0.8367,0.31,0.34721,0.21881,1.11613,1.37094,1.33506,0.00143595,0.00143595,0.00143595
9,525.335,0.81021,1.32571,0.83438,0.94934,0.3,0.39347,0.27953,1.09001,1.229,1.28705,0.00140295,0.00140295,0.00140295
10,585.127,0.76554,1.27495,0.80064,0.76586,0.4,0.45891,0.32191,1.13478,1.28058,1.3086,0.00136994,0.00136994,0.00136994
11,642.577,0.77416,1.25167,0.80035,0.88956,0.35278,0.43642,0.26657,1.09878,1.20881,1.281,0.00133693,0.00133693,0.00133693
12,700.566,0.81858,1.21949,0.86845,0.89479,0.39,0.51118,0.29844,1.12872,1.19812,1.3638,0.00130393,0.00130393,0.00130393
13,757.326,0.81855,1.27919,0.87473,0.90498,0.27,0.62629,0.29356,1.07059,1.06716,1.2996,0.00127092,0.00127092,0.00127092
14,813.221,0.78972,1.15071,0.87042,0.43639,0.66979,0.53239,0.29998,1.05887,0.99381,1.28433,0.00123791,0.00123791,0.00123791
15,869.163,0.75272,1.12354,0.79482,0.91539,0.35,0.42722,0.26977,1.07316,1.06158,1.28532,0.00120491,0.00120491,0.00120491
16,925.31,0.71315,1.00807,0.7716,0.90253,0.35,0.6804,0.36769,1.02668,0.99554,1.26162,0.0011719,0.0011719,0.0011719
17,981.77,0.68445,1.07134,0.74657,0.93654,0.34401,0.49328,0.31961,1.053,1.41691,1.31165,0.00113889,0.00113889,0.00113889
18,1041.42,0.68582,1.0175,0.74467,0.84736,0.36,0.54925,0.32997,1.01284,1.09234,1.25142,0.00110589,0.00110589,0.00110589
19,1101.51,0.67325,0.97503,0.74393,0.89551,0.36,0.49432,0.32661,0.96786,0.95114,1.2064,0.00107288,0.00107288,0.00107288
20,1166.4,0.67682,1.01538,0.76704,0.52575,0.60523,0.57539,0.3468,0.96877,0.91387,1.22643,0.00103987,0.00103987,0.00103987
21,1245.31,0.71811,0.94927,0.79042,0.92233,0.35,0.53856,0.35408,0.92997,0.8474,1.20406,0.00100687,0.00100687,0.00100687
22,1319.77,0.66738,0.96997,0.7505,0.91795,0.40752,0.50788,0.32805,1.00557,0.91309,1.25662,0.000973861,0.000973861,0.000973861
23,1403.24,0.66236,0.92191,0.74213,0.9505,0.36406,0.51212,0.33212,0.96681,0.87755,1.23995,0.000940855,0.000940855,0.000940855
24,1484.28,0.69937,0.9632,0.74987,0.95541,0.35,0.50552,0.33633,0.93139,1.0059,1.22971,0.000907848,0.000907848,0.000907848
25,1554.54,0.64782,0.90486,0.74755,0.41225,0.71,0.6511,0.38708,0.9537,0.84609,1.23292,0.000874842,0.000874842,0.000874842
26,1624.45,0.69887,0.88037,0.75749,0.36395,0.76231,0.66902,0.41827,0.9304,0.819,1.17527,0.000841835,0.000841835,0.000841835
27,1703.82,0.66187,0.92273,0.73601,0.45371,0.65669,0.61496,0.43356,0.92111,0.81156,1.21116,0.000808828,0.000808828,0.000808828
28,1782.24,0.66931,0.88108,0.75978,0.36102,0.74,0.57829,0.40799,0.94259,0.75392,1.20854,0.000775822,0.000775822,0.000775822
29,1842.95,0.65418,0.8323,0.75508,0.50248,0.69,0.61155,0.39331,0.95183,0.88136,1.18851,0.000742815,0.000742815,0.000742815
30,1898.56,0.66543,0.87415,0.76529,0.83981,0.64,0.7889,0.50076,0.93078,0.7678,1.21502,0.000709809,0.000709809,0.000709809
31,1954.17,0.64941,0.8197,0.7394,0.84908,0.65206,0.74086,0.42797,0.88244,0.73855,1.16653,0.000676802,0.000676802,0.000676802
32,2009.56,0.65752,0.87332,0.72652,0.73738,0.66079,0.78763,0.45596,0.95956,0.73262,1.23542,0.000643795,0.000643795,0.000643795
33,2068.25,0.59989,0.80592,0.69787,0.38981,0.72,0.63295,0.45149,0.92879,0.76165,1.1923,0.000610789,0.000610789,0.000610789
34,2123.67,0.63163,0.78572,0.70507,0.31404,0.72,0.72198,0.41424,0.89094,0.78493,1.17725,0.000577782,0.000577782,0.000577782
35,2180.1,0.6618,0.90503,0.76683,0.44707,0.96,0.70086,0.45442,0.92663,0.77581,1.18195,0.000544776,0.000544776,0.000544776
36,2239.48,0.63389,0.79441,0.73485,0.45955,0.85001,0.83603,0.60759,0.88656,0.7554,1.20056,0.000511769,0.000511769,0.000511769
