epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.501617,2.60158,5.46659,2.95064,0,0,0,0,2.78122,4.94126,2.59402,0,0,0
2,0.798241,3.02845,5.33493,3.35743,0,0,0,0,2.76673,4.92979,2.59998,1.17822e-06,1.17822e-06,1.17822e-06
3,1.09583,2.84253,5.3477,3.25406,0,0,0,0,2.76146,4.92621,2.60084,2.33288e-06,2.33288e-06,2.33288e-06
4,1.39895,2.61887,5.37405,3.20824,0,0,0,0,2.76532,4.92124,2.59575,3.46397e-06,3.46397e-06,3.46397e-06
5,1.73558,3.10768,5.50309,3.56358,0,0,0,0,2.7523,4.92057,2.59954,4.5715e-06,4.5715e-06,4.5715e-06
6,2.06625,3.13424,5.77918,3.81877,0,0,0,0,2.72559,4.91176,2.61334,5.65548e-06,5.65548e-06,5.65548e-06
7,2.39122,2.9596,5.78324,4.42966,0,0,0,0,2.71412,4.91183,2.61563,6.71588e-06,6.71588e-06,6.71588e-06
8,2.72506,2.81269,5.55053,3.17457,0,0,0,0,2.72877,4.92422,2.61734,7.75273e-06,7.75273e-06,7.75273e-06
9,3.10438,2.79877,5.64043,3.02543,0,0,0,0,2.71894,4.9219,2.63064,8.76602e-06,8.76602e-06,8.76602e-06
10,3.44259,2.26359,5.38759,2.58336,0,0,0,0,2.71467,4.91985,2.63431,9.75574e-06,9.75574e-06,9.75574e-06
11,3.77593,2.807,5.46957,4.39982,0,0,0,0,2.69518,4.9229,2.63377,1.07219e-05,1.07219e-05,1.07219e-05
12,4.12813,2.91776,5.35625,3.01847,0,0,0,0,2.71263,4.92613,2.66073,1.16645e-05,1.16645e-05,1.16645e-05
13,4.46204,2.86587,5.26825,3.54147,0,0,0,0,2.73058,4.92945,2.6628,1.25835e-05,1.25835e-05,1.25835e-05
14,4.79416,2.83247,5.41119,3.36769,0,0,0,0,2.73309,4.92873,2.66769,1.3479e-05,1.3479e-05,1.3479e-05
15,5.14445,3.15006,5.32937,3.34725,0,0,0,0,2.74791,4.93291,2.67592,1.43509e-05,1.43509e-05,1.43509e-05
16,5.4694,2.61271,5.42382,2.95774,0,0,0,0,2.75906,4.93244,2.67841,1.51993e-05,1.51993e-05,1.51993e-05
17,5.8061,2.77622,5.23344,2.94363,0,0,0,0,2.77195,4.93456,2.68028,1.60241e-05,1.60241e-05,1.60241e-05
18,6.11802,2.31238,5.1614,2.61727,0,0,0,0,2.77195,4.93456,2.68028,1.68253e-05,1.68253e-05,1.68253e-05
19,6.46221,2.56913,5.22599,2.9366,0,0,0,0,2.81746,4.93744,2.69431,1.7603e-05,1.7603e-05,1.7603e-05
20,6.79346,2.73018,5.95827,3.17243,0,0,0,0,2.81746,4.93744,2.69431,1.83571e-05,1.83571e-05,1.83571e-05
21,7.11575,2.6135,5.25731,3.04064,0,0,0,0,2.83243,4.94076,2.72129,1.90876e-05,1.90876e-05,1.90876e-05
22,7.41919,3.00648,5.27909,3.3142,0,0,0,0,2.83243,4.94076,2.72129,1.97946e-05,1.97946e-05,1.97946e-05
23,7.79256,2.7493,5.4272,3.08326,0,0,0,0,2.84797,4.9432,2.73222,2.0478e-05,2.0478e-05,2.0478e-05
24,8.1654,2.65301,5.46259,2.89454,0,0,0,0,2.84797,4.9432,2.73222,2.11379e-05,2.11379e-05,2.11379e-05
25,8.51263,2.25389,5.47955,2.65587,0,0,0,0,2.84376,4.95102,2.75132,2.17741e-05,2.17741e-05,2.17741e-05
26,8.80978,2.93005,5.28132,3.10198,0,0,0,0,2.84376,4.95102,2.75132,2.23869e-05,2.23869e-05,2.23869e-05
27,9.1575,2.88383,5.31468,2.95525,0,0,0,0,2.85987,4.95348,2.76153,2.2976e-05,2.2976e-05,2.2976e-05
28,9.48004,2.9563,5.55291,3.16683,0,0,0,0,2.85987,4.95348,2.76153,2.35417e-05,2.35417e-05,2.35417e-05
29,9.8075,2.85853,5.32138,3.03253,0,0,0,0,2.85245,4.96146,2.76558,2.40837e-05,2.40837e-05,2.40837e-05
30,10.1325,2.38271,5.31185,2.59756,0,0,0,0,2.85245,4.96146,2.76558,2.46022e-05,2.46022e-05,2.46022e-05
31,10.4746,2.92613,5.40984,3.1308,0,0,0,0,2.84408,4.96186,2.77324,2.50971e-05,2.50971e-05,2.50971e-05
32,10.7996,2.49647,5.31639,2.9897,0,0,0,0,2.84408,4.96186,2.77324,2.55685e-05,2.55685e-05,2.55685e-05
33,11.1553,2.54702,5.32451,2.83413,0,0,0,0,2.82204,4.96165,2.78168,2.60163e-05,2.60163e-05,2.60163e-05
34,11.4935,2.91651,5.28869,3.30271,0,0,0,0,2.82204,4.96165,2.78168,2.64405e-05,2.64405e-05,2.64405e-05
35,11.8251,2.86599,5.34628,3.02898,0,0,0,0,2.81833,4.95441,2.80022,2.68412e-05,2.68412e-05,2.68412e-05
36,12.1401,2.58603,5.21753,3.0036,0,0,0,0,2.81833,4.95441,2.80022,2.72183e-05,2.72183e-05,2.72183e-05
37,12.4957,2.2896,5.28033,2.69352,0,0,0,0,2.81177,4.95469,2.80635,2.75718e-05,2.75718e-05,2.75718e-05
38,12.8093,2.74052,5.23019,2.89366,0,0,0,0,2.81177,4.95469,2.80635,2.79018e-05,2.79018e-05,2.79018e-05
39,13.2251,2.52777,5.33557,2.66877,0,0,0,0,2.83605,4.94751,2.95095,2.82082e-05,2.82082e-05,2.82082e-05
40,13.5414,2.6652,5.53902,2.85411,0,0,0,0,2.83605,4.94751,2.95095,2.84911e-05,2.84911e-05,2.84911e-05
41,13.8903,2.93344,5.31136,2.98299,0,0,0,0,2.80472,4.95884,2.87712,2.87504e-05,2.87504e-05,2.87504e-05
42,14.2412,2.7219,5.31393,2.96125,0,0,0,0,2.80472,4.95884,2.87712,2.89861e-05,2.89861e-05,2.89861e-05
43,14.5962,2.53343,5.389,2.81517,0,0,0,0,2.79658,4.96219,2.88736,2.91983e-05,2.91983e-05,2.91983e-05
44,14.9059,3.04352,5.25923,3.18138,0,0,0,0,2.79658,4.96219,2.88736,2.93869e-05,2.93869e-05,2.93869e-05
45,15.2397,2.86309,5.2309,3.00657,0,0,0,0,2.85686,4.95374,3.04466,2.9552e-05,2.9552e-05,2.9552e-05
46,15.5527,2.82132,5.53574,3.07379,0,0,0,0,2.85686,4.95374,3.04466,2.96935e-05,2.96935e-05,2.96935e-05
47,15.9078,2.2311,5.37049,2.6722,0,0,0,0,2.81619,4.95614,3.07363,2.98114e-05,2.98114e-05,2.98114e-05
48,16.24,2.66749,5.31034,3.2729,0,0,0,0,2.81619,4.95614,3.07363,2.99058e-05,2.99058e-05,2.99058e-05
49,16.5831,2.8694,5.36849,3.27563,0,0,0,0,2.84238,4.95798,3.08109,2.99766e-05,2.99766e-05,2.99766e-05
50,16.9061,3.16222,5.21683,3.28415,0,0,0,0,2.84238,4.95798,3.08109,3.00238e-05,3.00238e-05,3.00238e-05
51,17.2731,2.95269,5.35041,2.70704,0,0,0,0,2.8536,4.95935,3.06633,3.00475e-05,3.00475e-05,3.00475e-05
52,17.6637,2.61255,5.17855,2.84276,0,0,0,0,2.8536,4.95935,3.06633,3.00476e-05,3.00476e-05,3.00476e-05
53,17.9834,2.42569,5.3677,2.84457,0,0,0,0,2.8536,4.95935,3.06633,3.00242e-05,3.00242e-05,3.00242e-05
54,18.3842,3.16029,5.31901,2.95353,0,0,0,0,2.83018,4.95648,3.07636,2.99772e-05,2.99772e-05,2.99772e-05
55,18.7869,2.86372,5.17301,3.1295,0,0,0,0,2.83018,4.95648,3.07636,2.99066e-05,2.99066e-05,2.99066e-05
56,19.2885,2.5363,5.29308,2.85782,0,0,0,0,2.83018,4.95648,3.07636,2.98125e-05,2.98125e-05,2.98125e-05
57,19.7441,2.74199,5.19282,2.92447,0,0,0,0,2.8279,4.95055,3.10111,2.96948e-05,2.96948e-05,2.96948e-05
58,20.1358,2.85814,5.37013,3.38463,0,0,0,0,2.8279,4.95055,3.10111,2.95535e-05,2.95535e-05,2.95535e-05
59,20.5961,2.76468,5.54831,2.86212,0,0,0,0,2.8279,4.95055,3.10111,2.93887e-05,2.93887e-05,2.93887e-05
60,21.109,2.45132,5.18208,3.04697,0,0,0,0,2.80523,4.95934,3.0809,2.92003e-05,2.92003e-05,2.92003e-05
61,21.5435,2.66097,5.30988,2.8043,0,0,0,0,2.80523,4.95934,3.0809,2.89884e-05,2.89884e-05,2.89884e-05
62,21.9663,2.82146,5.21883,2.93847,0,0,0,0,2.80523,4.95934,3.0809,2.87529e-05,2.87529e-05,2.87529e-05
63,22.4969,2.92387,4.99516,3.57864,0,0,0,0,2.80825,4.95473,3.12754,2.84938e-05,2.84938e-05,2.84938e-05
64,22.9826,2.885,5.36166,3.24131,0,0,0,0,2.80825,4.95473,3.12754,2.82112e-05,2.82112e-05,2.82112e-05
65,23.4319,2.3618,5.21079,2.52461,0,0,0,0,2.80825,4.95473,3.12754,2.7905e-05,2.7905e-05,2.7905e-05
66,23.9413,2.90324,5.11245,3.14311,0,0,0,0,2.80153,4.95606,3.0598,2.75753e-05,2.75753e-05,2.75753e-05
67,24.3029,2.77289,5.1967,3.08366,0,0,0,0,2.80153,4.95606,3.0598,2.7222e-05,2.7222e-05,2.7222e-05
68,24.7812,2.94823,5.24873,3.03374,0,0,0,0,2.80153,4.95606,3.0598,2.68451e-05,2.68451e-05,2.68451e-05
69,25.1503,2.78972,5.44999,2.93554,0,0,0,0,2.82011,4.96696,3.08105,2.64447e-05,2.64447e-05,2.64447e-05
70,25.5388,2.3724,5.49098,2.83338,0,0,0,0,2.82011,4.96696,3.08105,2.60207e-05,2.60207e-05,2.60207e-05
71,25.9355,2.78614,5.3171,2.87288,0,0,0,0,2.82011,4.96696,3.08105,2.55731e-05,2.55731e-05,2.55731e-05
72,26.3332,2.50826,5.2758,2.67612,0,0,0,0,2.81678,4.96221,3.11744,2.5102e-05,2.5102e-05,2.5102e-05
73,26.7636,2.85749,5.21128,3.00028,0,0,0,0,2.81678,4.96221,3.11744,2.46073e-05,2.46073e-05,2.46073e-05
